,player_name,Overall,player_name_id
0,Anthony Edwards,1,1251.0
1,James Wiseman,2,10379.0
3,Patrick Williams,4,18302.0
4,Isaac Okoro,5,9195.0
5,Onyeka Okongwu,6,18025.0
7,Obi Toppin,8,17927.0
9,Jalen Smith,10,10065.0
10,Devin Vassell,11,6616.0
11,Tyrese Haliburton,12,22884.0
12,Kira Lewis Jr.,13,14079.0
13,Aaron Nesmith,14,180.0
14,Cole Anthony,15,4465.0
15,Zion Williamson,1,23869.0
16,Ja Morant,2,9508.0
18,De'Andre Hunter,4,5951.0
19,Darius Garland,5,5488.0
20,Jarrett Culver,6,10585.0
21,Coby White,7,4419.0
22,Jaxson Hayes,8,10793.0
23,Rui Hachimura,9,19789.0
24,Cam Reddish,10,3265.0
25,Cameron Johnson,11,3315.0
27,Tyler Herro,13,22711.0
28,Romeo Langford,14,19662.0
30,Deandre Ayton,1,6072.0
31,Marvin Bagley III,2,15902.0
33,Jaren Jackson Jr.,4,10530.0
34,Trae Young,5,22110.0
36,Wendell Carter Jr.,7,23206.0
37,Collin Sexton,8,4533.0
39,Mikal Bridges,10,16730.0
40,Shai Gilgeous-Alexander,11,20463.0
41,Miles Bridges,12,16969.0
42,Jerome Robinson,13,11266.0
43,Michael Porter Jr.,14,16644.0
45,Markelle Fultz,1,15716.0
46,Lonzo Ball,2,14952.0
47,Jayson Tatum,3,10918.0
48,Josh Jackson,4,12541.0
49,De'Aaron Fox,5,5947.0
50,Jonathan Isaac,6,12017.0
51,Lauri Markkanen,7,14669.0
54,Zach Collins,10,23646.0
55,Malik Monk,11,15346.0
56,Luke Kennard,12,15100.0
57,Donovan Mitchell,13,6979.0
59,Justin Jackson,15,12968.0
60,Ben Simmons,1,2018.0
61,Brandon Ingram,2,2455.0
62,Jaylen Brown,3,10872.0
64,Kris Dunn,5,14179.0
65,Buddy Hield,6,3035.0
66,Jamal Murray,7,10135.0
67,Marquese Chriss,8,15797.0
68,Jakob Poeltl,9,9967.0
70,Domantas Sabonis,11,6831.0
71,Taurean Prince,12,21375.0
73,Denzel Valentine,14,6311.0
75,Karl-Anthony Towns,1,13333.0
76,D'Angelo Russell,2,4895.0
77,Jahlil Okafor,3,9811.0
80,Willie Cauley-Stein,6,23420.0
82,Stanley Johnson,8,20880.0
83,Frank Kaminsky,9,8148.0
84,Justise Winslow,10,13072.0
85,Myles Turner,11,17272.0
86,Trey Lyles,12,22456.0
87,Devin Booker,13,6565.0
88,Cameron Payne,14,3346.0
90,Andrew Wiggins,1,1127.0
91,Jabari Parker,2,9560.0
92,Joel Embiid,3,11585.0
93,Aaron Gordon,4,144.0
95,Marcus Smart,6,15578.0
96,Julius Randle,7,12839.0
97,Nik Stauskas,8,17756.0
98,Noah Vonleh,9,17852.0
99,Elfrid Payton,10,7503.0
100,Doug McDermott,11,7061.0
102,Zach LaVine,13,23705.0
103,T.J. Warren,14,21209.0
104,Adreian Payne,15,373.0
105,Anthony Bennett,1,1213.0
106,Victor Oladipo,2,23062.0
108,Cody Zeller,4,4450.0
109,Alex Len,5,661.0
110,Nerlens Noel,6,17497.0
111,Ben McLemore,7,1994.0
112,Kentavious Caldwell-Pope,8,13706.0
113,Trey Burke,9,22417.0
115,Michael Carter-Williams,11,16500.0
116,Steven Adams,12,21063.0
117,Kelly Olynyk,13,13537.0
118,Shabazz Muhammad,14,20455.0
120,Anthony Davis,1,1240.0
121,Michael Kidd-Gilchrist,2,16586.0
122,Bradley Beal,3,2308.0
123,Dion Waiters,4,6788.0
124,Thomas Robinson,5,21724.0
125,Damian Lillard,6,5139.0
126,Harrison Barnes,7,8856.0
127,Terrence Ross,8,21580.0
128,Andre Drummond,9,961.0
129,Austin Rivers,10,1737.0
130,Meyers Leonard,11,16438.0
131,Jeremy Lamb,12,11161.0
132,Kendall Marshall,13,13596.0
133,John Henson,14,11734.0
135,Kyrie Irving,1,14423.0
136,Derrick Williams,2,6458.0
138,Tristan Thompson,4,22515.0
142,Brandon Knight,8,2468.0
143,Kemba Walker,9,13567.0
144,Jimmer Fredette,10,11398.0
145,Klay Thompson,11,14094.0
146,Alec Burks,12,548.0
147,Markieff Morris,13,15723.0
149,Kawhi Leonard,15,13378.0
150,John Wall,1,11837.0
151,Evan Turner,2,7997.0
152,Derrick Favors,3,6430.0
153,Wesley Johnson,4,23243.0
154,DeMarcus Cousins,5,6030.0
155,Ekpe Udoh,6,7495.0
156,Greg Monroe,7,8735.0
157,Al-Farouq Aminu,8,510.0
158,Gordon Hayward,9,8616.0
159,Paul George,10,18326.0
160,Cole Aldrich,11,4464.0
161,Xavier Henry,12,23504.0
162,Ed Davis,13,7393.0
163,Patrick Patterson,14,18276.0
164,Larry Sanders,15,14638.0
165,Blake Griffin,1,2150.0
166,Hasheem Thabeet,2,8887.0
167,James Harden,3,10288.0
168,Tyreke Evans,4,22857.0
170,Jonny Flynn,6,12081.0
171,Stephen Curry,7,20945.0
172,Jordan Hill,8,12222.0
173,DeMar DeRozan,9,6029.0
175,Terrence Williams,11,21588.0
176,Gerald Henderson,12,8512.0
177,Tyler Hansbrough,13,22707.0
178,Earl Clark,14,7371.0
179,Austin Daye,15,1675.0
